name,code,period,low,medium,high,extreme
Abaya,GLWD00000166,2017,93.16064841893134,5.578557374105561,1.0731663662513424,0.1876278407117664
Abaya,GLWD00000166,2018,82.40711106568988,13.490408186783831,3.6795466943068416,0.4229340532194443
Abaya,GLWD00000166,2019,95.2340567949078,3.5763541446723077,0.946722068468978,0.2428669919508804
Abaya,GLWD00000166,2020,96.70432323749311,2.389291364422675,0.7386580345446314,0.1677273635395765
Abaya,GLWD00000166,2021,98.54594693188488,1.0132792103484218,0.3505713643455524,0.0902024934211402
Abayata,GLWD00001146,2017,16.297562425683708,7.164380450782172,16.864106723718002,59.67395039981612
Abayata,GLWD00001146,2018,16.822203598647445,6.850826409235881,11.390845369551414,64.93612462256526
Abayata,GLWD00001146,2019,16.30914464808604,5.279928048416276,10.216726683533178,68.1942006199645
Abayata,GLWD00001146,2020,12.75010736329392,6.222432734918253,11.781750477336931,69.2457094244509
Abayata,GLWD00001146,2021,66.88715393618017,6.285720703525924,7.35901464476958,19.46811071552433
Aberdeen,GLWD00000152,2017,55.71195013031596,19.632788937624937,16.461055974049827,8.194204958009308
Aberdeen,GLWD00000152,2018,54.98438140345735,15.682333618396733,13.688312376132435,15.644972602013477
Aberdeen,GLWD00000152,2019,54.43958982480793,10.340802539030271,25.480625002329912,9.738982633831876
Aberdeen,GLWD00000152,2020,50.8564253052358,25.33809132514876,13.567455970616448,10.238027398998993
Aberdeen,GLWD00000152,2021,69.49516841301228,14.046586060402571,8.324866844621676,8.133378681963496
Abert,GLWD00001154,2017,56.23831095066262,17.612338671823917,20.55911829512425,5.590232082389204
Abert,GLWD00001154,2018,79.12536658967066,12.91777531180137,5.351779888863982,2.605078209663998
Abert,GLWD00001154,2019,86.60346774922914,8.267439171218102,2.7411289146449738,2.387964164907814
Abert,GLWD00001154,2020,78.21360711421175,10.20640168747702,4.200094969248552,7.37989622906268
Abert,GLWD00001154,2021,48.79021682473046,5.698048615330364,8.319694846785742,37.19203971315344
Abhe Bid,GLWD00000527,2017,45.83278121050826,11.848876356962922,10.1728533658288,32.145489066700044
Abhe Bid,GLWD00000527,2018,43.80922049336036,12.867185902879132,15.530303830814711,27.793289772945812
Abhe Bid,GLWD00000527,2019,53.76240364176356,9.800676920773798,15.407112073233916,21.02980736422873
Abhe Bid,GLWD00000527,2020,45.03993050104143,11.33324959964832,15.422439929803264,28.204379969506995
Abhe Bid,GLWD00000527,2021,45.79618475136186,4.767088661852421,6.178677183421411,43.25804940336433
Abiskojaure,GLWD00052257,2017,53.846153846153854,15.384615384615383,0.0,30.76923076923077
Abiskojaure,GLWD00052257,2018,33.333333333333336,0.0,26.666666666666668,40.0
Abiskojaure,GLWD00052257,2019,56.25,0.0,31.25,12.5
Abiskojaure,GLWD00052257,2020,16.325224071702944,7.061459667093471,21.21638924455826,55.396927016645336
Abiskojaure,GLWD00052257,2021,14.286857691692012,6.122939010725148,18.368817032175443,61.22138626540739
Abitibi,GLWD00000200,2017,42.1587829619399,24.637930689953304,28.346622135148337,4.856664212958476
Abitibi,GLWD00000200,2018,84.52411522065182,12.71635769849738,2.022894758870442,0.7366323219803255
Abitibi,GLWD00000200,2019,54.02848838672415,28.59515928340849,16.12102940243707,1.2553229274302848
Abitibi,GLWD00000200,2020,41.935668581069365,27.55024216546298,25.846253497547927,4.667835755919708
Abitibi,GLWD00000200,2021,56.957255661287896,18.85725878568889,19.58601687007644,4.599468682946767
Abraham,HYLA00007243,2017,55.5915230095679,8.74468601834814,11.825756100549397,23.838034871534564
Abraham,HYLA00007243,2018,50.2929311614643,7.819234070324161,10.136142040878234,31.751692727333307
Abraham,HYLA00007243,2019,56.8270466190158,7.623196496543272,12.52742956130474,23.022327323136167
Abraham,HYLA00007243,2020,46.01371359326865,12.720986263650303,18.018683028539407,23.24661711454164
Abraham,HYLA00007243,2021,50.690037319794655,8.150275094787949,11.334365333456018,29.825322251961385
Aby,GLWD00000418,2017,32.944511682309574,4.216983900708404,6.86843129681428,55.97007312016774
Aby,GLWD00000418,2018,32.247937926220615,5.779409288505875,8.732343401731914,53.24030938354159
Aby,GLWD00000418,2019,34.85826263516598,5.09698143860876,6.206743636822766,53.8380122894025
Aby,GLWD00000418,2020,20.169641036897318,3.765560628523574,5.337715345620371,70.72708298895873
Aby,GLWD00000418,2021,19.54426574239767,3.938865595373447,5.080473362357789,71.4363952998711
Acará,GLWD00001955,2017,69.28256326909683,7.499419549570467,9.33364290689575,13.884374274436963
Acará,GLWD00001955,2018,65.41798941798942,12.063492063492063,10.412698412698411,12.105820105820104
Acará,GLWD00001955,2019,76.6060606060606,11.393939393939394,6.787878787878788,5.212121212121213
Acará,GLWD00001955,2020,58.39010539429127,10.575720166773484,11.625230012314908,19.408944426620337
Acará,GLWD00001955,2021,76.94361424789432,7.462787110160034,6.012219794630207,9.58137884731544
Achit,GLWD00000630,2017,92.50417844370295,2.072485990411252,2.182254686565648,3.2410808793201413
Achit,GLWD00000630,2018,89.92256327772884,3.110975870494639,2.7439923315495696,4.22246852022692
Achit,GLWD00000630,2019,91.51516698163044,2.3494244370809274,2.078959910223718,4.056448671064891
Achit,GLWD00000630,2020,94.15133368981374,1.419016518808242,1.5357931938349534,2.8938565975430866
Achit,GLWD00000630,2021,91.91315382434804,2.480567356456546,2.2956953822276422,3.3105834369677574
Adams,HYLA00000651,2017,57.465126909605615,16.111253764267964,18.127036311520108,8.296583014606313
Adams,HYLA00000651,2018,58.432611668419625,17.895596558897005,15.823862355879973,7.847929416803419
