name,code,period,low,medium,high,extreme
Abaya,GLWD00000166,2017,99.27839091506878,0.6911238728974016,0.0299596049297906,0.0005256071040314
Abaya,GLWD00000166,2018,99.56426003996242,0.4046889447777353,0.0289458616829068,0.0021051535769386
Abaya,GLWD00000166,2019,99.44988066169267,0.5134766028025185,0.0335019296043988,0.0031408059004123
Abaya,GLWD00000166,2020,98.92090116732416,0.9807387552649732,0.0900196267509288,0.0083404506599825
Abaya,GLWD00000166,2021,98.44290303373062,1.4238102910550574,0.1254295627531127,0.007857112461226
Abayata,GLWD00001146,2017,88.77563044770555,8.586775501115868,1.949061257180236,0.6885327939983381
Abayata,GLWD00001146,2018,78.29926076381855,15.966383375466911,5.101931867191383,0.6324239935231712
Abayata,GLWD00001146,2019,94.91870478132368,3.263534018977326,1.400151602811643,0.4176095968873532
Abayata,GLWD00001146,2020,91.21406343587486,6.455078143790511,1.8917540069703649,0.4391044133642552
Abayata,GLWD00001146,2021,56.90488971328987,33.85813570420183,7.182049288058815,2.054925294449488
Aberdeen,GLWD00000152,2017,94.3128718928945,4.600973021651508,0.89123181634695,0.1949232691070314
Aberdeen,GLWD00000152,2018,86.57296591644024,11.831479223661782,1.3428684933498438,0.2526863665481168
Aberdeen,GLWD00000152,2019,95.99109510442248,3.3491536561767834,0.563147091619983,0.096604147780736
Aberdeen,GLWD00000152,2020,98.13414560321328,1.237710343705145,0.5392314641665196,0.0889125889150699
Aberdeen,GLWD00000152,2021,97.93112681750736,1.4812327615951084,0.4979689639917104,0.0896714569058398
Abert,GLWD00001154,2017,94.79337560720866,2.997829122554294,1.4750740129193065,0.7337212573177239
Abert,GLWD00001154,2018,91.25604410480516,6.696777557876595,1.3913715160597775,0.6558068212584702
Abert,GLWD00001154,2019,94.21024092017802,3.7256853345036913,1.318957102208935,0.7451166431093361
Abert,GLWD00001154,2020,93.11835984535068,5.150548603200781,1.1802528898758031,0.5508386615727107
Abert,GLWD00001154,2021,95.50326350028288,2.497192045378521,1.2955607315592856,0.7039837227793447
Abhe Bid,GLWD00000527,2017,100.0,0.0,0.0,0.0
Abhe Bid,GLWD00000527,2018,100.0,0.0,0.0,0.0
Abhe Bid,GLWD00000527,2019,100.0,0.0,0.0,0.0
Abhe Bid,GLWD00000527,2020,99.99586894305584,0.00235163207802,0.0017794248661575,0.0
Abhe Bid,GLWD00000527,2021,82.6234307470709,15.785484954488338,1.5884454759587567,0.0026388224820135
Abiskojaure,GLWD00052257,2017,30.76923076923077,23.07692307692308,23.07692307692308,23.07692307692308
Abiskojaure,GLWD00052257,2018,46.66666666666667,13.333333333333334,39.99999999999999,0.0
Abiskojaure,GLWD00052257,2019,30.76923076923077,23.07692307692308,46.15384615384615,0.0
Abiskojaure,GLWD00052257,2020,77.01664532650449,10.941101152368756,10.409731113956466,1.6325224071702944
Abiskojaure,GLWD00052257,2021,75.50824395709941,16.327837361933728,8.163918680966864,0.0
Abitibi,GLWD00000200,2017,99.93530733549224,0.0605289848940079,0.0033607164812964,0.0008029631324439
Abitibi,GLWD00000200,2018,99.95221899869468,0.0453737790722235,0.0024072222331045,0.0
Abitibi,GLWD00000200,2019,99.9718464302789,0.0273578670519417,0.0007957026691577,0.0
Abitibi,GLWD00000200,2020,99.6480568855961,0.2467159776709905,0.0954215246273983,0.0098056121054877
Abitibi,GLWD00000200,2021,99.73184859416747,0.1952940435316723,0.0658524150938329,0.007004947207019
Abraham,HYLA00007243,2017,74.01487170164367,14.38307268688284,6.839031787486309,4.763023823987159
Abraham,HYLA00007243,2018,73.60900407360585,9.12628178114904,7.713513133867117,9.551201011378003
Abraham,HYLA00007243,2019,73.0266768204373,18.418771414818394,3.518323658812241,5.036228105932056
Abraham,HYLA00007243,2020,51.26236471608821,41.136787600961725,6.081333938753266,1.5195137441967717
Abraham,HYLA00007243,2021,54.98943711626493,36.85497255548565,6.24091510641529,1.9146752218341176
Aby,GLWD00000418,2017,87.09298200721115,8.00029016769939,3.6545984007295615,1.2521294243598968
Aby,GLWD00000418,2018,88.17239286202113,7.303196873974767,3.505185681150021,1.0192245828540938
Aby,GLWD00000418,2019,89.62676095951643,6.159428566370435,2.914161887920496,1.2996485861926093
Aby,GLWD00000418,2020,91.7652944045923,4.903723776924384,2.2180980505688552,1.1128837679144667
Aby,GLWD00000418,2021,88.95410102171788,5.9120390456230645,3.376265382336768,1.7575945503222965
Acará,GLWD00001955,2017,70.80018717828733,15.114646700982687,8.072063640617689,6.013102480112307
Acará,GLWD00001955,2018,64.14928649835346,15.499451152579583,10.340285400658615,10.010976948408342
Acará,GLWD00001955,2019,65.42510121457491,11.417004048582996,11.842105263157894,11.31578947368421
Acará,GLWD00001955,2020,69.906766514749,15.071205297893728,9.946183397536782,5.075844789820488
Acará,GLWD00001955,2021,69.11548910906217,7.030214777578276,12.881111662917627,10.973184450441906
Achit,GLWD00000630,2017,98.84722918413284,0.9441990351759016,0.1860234800759789,0.0225483006152701
Achit,GLWD00000630,2018,98.2436783669825,1.652678400376829,0.0868362219421786,0.0168070106984861
Achit,GLWD00000630,2019,99.1744819297902,0.7691679596807226,0.0478975939497217,0.0084525165793626
Achit,GLWD00000630,2020,99.20827727918235,0.6170678681672003,0.1670083699996214,0.0076464826507981
Achit,GLWD00000630,2021,98.94836308593928,0.8804876638153772,0.163060711514389,0.0080885387309368
Adams,HYLA00000651,2017,18.746079206225616,31.5444861037416,40.70439637862471,9.005038311408088
Adams,HYLA00000651,2018,16.977746669560975,39.42642363285688,41.89651953874447,1.6993101588376716
