ADM0_NAME,M49Code,period,low,medium,high,extreme
Afghanistan,4.0,2017_01,14.755522536830131,3.734848207168918,16.908462574107496,64.60116668189346
Afghanistan,4.0,2017_02,7.727831484874331,11.32848337371623,44.06117010655287,36.88251503485658
Afghanistan,4.0,2017_03,12.224803177821336,22.185720483238047,53.00817486989304,12.58130146904759
Afghanistan,4.0,2017_04,25.74547887515804,18.264020451672096,41.09758145738405,14.892919215785822
Afghanistan,4.0,2017_05,33.5977076667279,7.827520867082835,41.11212988939426,17.462641576795
Afghanistan,4.0,2017_06,31.42546491243171,7.252378495832183,45.38330529985456,15.938851291881546
Afghanistan,4.0,2017_07,29.759431475007798,10.339338629788978,45.11481598332891,14.78641391187434
Afghanistan,4.0,2017_08,24.112053121414814,9.542198340339484,45.05335875975484,21.292389778490847
Afghanistan,4.0,2017_09,30.09320485572318,13.875104780399203,46.73944785631026,9.29224250756736
Afghanistan,4.0,2017_10,36.582537134225085,17.931973323240477,43.249487639342334,2.236001903192104
Afghanistan,4.0,2017_11,25.70299883814884,26.209576087728216,41.00083729914118,7.086587774981773
Afghanistan,4.0,2017_12,25.15614431530541,6.23969209716663,31.165740090491305,37.438423497036645
Afghanistan,4.0,2018_01,26.84678250056273,5.735179587518417,8.622632104558773,58.79540580736008
Afghanistan,4.0,2018_02,25.70958461206486,3.975521836251624,19.885121857528404,50.42977169415511
Afghanistan,4.0,2018_03,4.076739724243799,4.309353970279865,40.27451435211297,51.33939195336336
Afghanistan,4.0,2018_04,29.18469035006473,5.483175129751373,34.53815513707117,30.79397938311271
Afghanistan,4.0,2018_05,18.739868304730727,10.75932992071508,35.986166274654536,34.514635499899654
Afghanistan,4.0,2018_06,23.823324037656256,7.659204912677637,35.813569057672666,32.70390199199345
Afghanistan,4.0,2018_07,12.559658018001862,7.231771692193097,48.057151769227616,32.15141852057743
Afghanistan,4.0,2018_08,11.620048689815992,4.613930584860626,42.55625091153169,41.20976981379168
Afghanistan,4.0,2018_09,13.185545979231632,8.609239408280715,45.437200374578,32.76801423790964
Afghanistan,4.0,2018_10,11.80273298118635,9.872450583424971,52.84738851283159,25.47742792255708
Afghanistan,4.0,2018_11,7.517363620671023,10.480511625100169,53.21296801781763,28.78915673641119
Afghanistan,4.0,2018_12,16.810879885190484,2.774369616227476,31.51749992525422,48.89725057332783
Afghanistan,4.0,2019_01,14.524433142011288,2.7621812356844018,10.841561350061278,71.87182427224303
Afghanistan,4.0,2019_02,3.9886340696715767,8.13438669875416,37.6929721721805,50.18400705939376
Afghanistan,4.0,2019_03,35.717829947607086,27.984773942390223,26.73198320056852,9.565412909434174
Afghanistan,4.0,2019_04,81.43102267581683,16.835318287151406,1.7336590370317544,0.0
Afghanistan,4.0,2019_05,47.000634903599504,23.56316442086744,27.704849497183183,1.7313511783498694
Afghanistan,4.0,2019_06,39.50926529548568,31.426592163952,26.65757441982121,2.406568120741092
Afghanistan,4.0,2019_07,15.536028419433272,34.30849431338833,47.20929522018539,2.946182046993029
Afghanistan,4.0,2019_08,40.6266084344421,17.667146523401016,36.94592212529925,4.760322916857637
Afghanistan,4.0,2019_09,51.3043794610155,22.88022609316934,24.56202928029087,1.2533651655242932
Afghanistan,4.0,2019_10,0.0,0.0,0.0,0.0
Afghanistan,4.0,2019_11,60.02626483996281,17.641071622976725,10.593084266863029,11.73957927019742
Afghanistan,4.0,2019_12,58.682113375920935,19.777873089562505,11.207115851413548,10.332897683103027
Afghanistan,4.0,2020_01,20.80439498995655,27.437174080326248,29.82558074327808,21.93285018643911
Afghanistan,4.0,2020_02,17.773333475580184,23.38333036529812,44.697762374997154,14.145573784124542
Afghanistan,4.0,2020_03,16.61472283493514,26.948892083749104,46.39106620800729,10.045318873308476
Afghanistan,4.0,2020_04,45.38947206029096,26.33349854699508,25.656560185914607,2.620469206799364
Afghanistan,4.0,2020_05,49.19496122853113,23.773318253486536,24.390392812487256,2.6413277054950823
Afghanistan,4.0,2020_06,44.41176011161271,26.225724141125067,26.368172292656144,2.994343454606094
Afghanistan,4.0,2020_07,11.593391268565949,37.03284286246332,47.34461377825774,4.029152090712998
Afghanistan,4.0,2020_08,7.722055263548896,31.78626808920381,53.09756451942581,7.39411212782148
Afghanistan,4.0,2020_09,18.7899083994188,30.098947665563784,37.16153081945976,13.94961311555766
Afghanistan,4.0,2020_10,36.777478391801154,34.83275925773515,24.69790048183325,3.691861868630456
Afghanistan,4.0,2020_11,42.013837882907325,22.074139604887492,13.500621098982746,22.411401413222443
Afghanistan,4.0,2020_12,35.75208605384193,23.29715655383002,26.066158938712327,14.884598453615723
Afghanistan,4.0,2021_01,26.928203911952487,8.314054781997129,28.675241416154925,36.082499889895466
Afghanistan,4.0,2021_02,32.41556760459314,7.692408695987572,42.31851969175108,17.573504007668195
Afghanistan,4.0,2021_03,34.279439011253096,21.793284143278694,37.43589659420011,6.491380251268119
Afghanistan,4.0,2021_04,34.48761335188977,18.94106248796457,38.72783292194037,7.843491238205278
Afghanistan,4.0,2021_05,49.0305010982717,25.33852312229488,22.80802188713277,2.8229538923006543
Afghanistan,4.0,2021_06,41.94147129373778,21.767327195292367,31.50515737396641,4.786044137003444
Afghanistan,4.0,2021_07,43.87628405464478,18.352223622589577,34.631888289927765,3.1396040328379127
Afghanistan,4.0,2021_08,43.96610935703335,22.25768688316529,29.330889117657847,4.445314642143512
Afghanistan,4.0,2021_09,48.95474553269666,24.865843440382303,24.363876193813525,1.815534833107517
Afghanistan,4.0,2021_10,47.595235567762,26.52733139144298,24.707254634324585,1.170178406470425
