ADM0_NAME,M49Code,period,low,medium,high,extreme
Afghanistan,4.0,2017,24.711692901276727,12.917323452875989,41.22447668298,21.14650696286729
Afghanistan,4.0,2018,16.795932593215372,6.791073769249671,37.49881130656877,38.914182330966185
Afghanistan,4.0,2019,38.08767654421847,20.489941876632678,25.25330504056152,16.169076538587316
Afghanistan,4.0,2020,28.968567934326828,27.81958619490763,33.19512290631903,10.016722964446496
Afghanistan,4.0,2021,39.53680638917157,20.289741501867585,31.15775126805549,9.01570084090534
Aksai Chin,1013.0,2017,58.92521818941378,11.655220999667572,14.069586788548476,15.349974022370157
Aksai Chin,1013.0,2018,59.58751611419723,8.712269515151378,9.621967975119963,22.07824639553141
Aksai Chin,1013.0,2019,58.71467147641448,7.795496588845313,10.863263338921591,22.62656859581861
Aksai Chin,1013.0,2020,64.19743210973677,9.040717649842708,10.234883831923712,16.526966408496815
Aksai Chin,1013.0,2021,67.6065593911827,8.418203763489409,8.142672539498612,15.83256430582929
Albania,8.0,2017,61.88232114428034,18.16683180396632,9.463548745234691,10.487298306518635
Albania,8.0,2018,67.22068207083701,15.564679694387904,11.03073489390616,6.183903340868932
Albania,8.0,2019,59.2739273850482,21.60043075066646,10.54753620476364,8.578105659521707
Albania,8.0,2020,58.66851062371228,21.2388154028037,10.896540047085557,9.196133926398462
Albania,8.0,2021,56.63961929124221,23.548206402413133,15.279147641559494,4.533026664785155
Algeria,12.0,2017,46.25167815762044,14.10414567919848,13.36485736718418,26.279318795996907
Algeria,12.0,2018,52.84429932631838,15.046413611392667,13.503237407769776,18.60604965451917
Algeria,12.0,2019,51.90202020057369,14.896281340788478,15.027577807150829,18.174120651487016
Algeria,12.0,2020,56.25125859472604,11.09344342668487,12.221558549023516,20.433739429565563
Algeria,12.0,2021,42.733287604731736,14.331485092159229,16.289602387393405,26.645624915715644
Angola,24.0,2017,55.99211078272475,10.690485270283151,13.893483649537613,19.423920297454472
Angola,24.0,2018,58.88936481056515,9.172026714202106,10.6128836577959,21.32572481743684
Angola,24.0,2019,59.07374753384495,9.968993164946706,11.777918596951942,19.1793407042564
Angola,24.0,2020,51.639824385501136,9.073319606254616,12.936394600646752,26.350461407597507
Angola,24.0,2021,47.949722123865634,8.552289220921049,11.93707990341998,31.560908751793335
Argentina,32.0,2017,56.11352773503907,13.387946064126629,12.904107422268336,17.594418778565995
Argentina,32.0,2018,56.2205848097095,12.08593666779574,16.175372200310363,15.518106322184398
Argentina,32.0,2019,58.47541944852464,11.44986299899375,13.856400332114768,16.218317220366853
Argentina,32.0,2020,61.46255594212505,9.44605696861243,12.339859521432595,16.751527567829942
Argentina,32.0,2021,55.9113000349832,12.070626519269968,15.996019868716278,16.022053577030583
Armenia,51.0,2017,79.0809202397655,7.363654149798041,3.3491341149307514,10.20629149550567
Armenia,51.0,2018,65.1009164393949,7.897936712011036,14.610187162122786,12.390959686471271
Armenia,51.0,2019,34.693513313438835,14.019860764617269,36.76002706482616,14.526598857117726
Armenia,51.0,2020,75.65832588494395,13.259648201237844,6.520406765860196,4.561619147958006
Armenia,51.0,2021,82.63157467397212,10.924031426210044,4.346727918829247,2.0976659809885936
Australia,36.0,2017,65.04358465291033,10.48874339972516,9.150560087827309,15.317111859537198
Australia,36.0,2018,68.19298559305867,10.32839095781793,8.71485351262777,12.763769936495638
Australia,36.0,2019,58.41787178639598,10.917099335077276,10.36727406400216,20.2977548145246
Australia,36.0,2020,56.92030508876201,11.289946727325754,11.64928129550958,20.14046688840265
Australia,36.0,2021,59.74130596988246,11.294760825106938,11.072022614353596,17.891910590656988
Austria,40.0,2017,71.2165178856701,13.861310101546891,10.29057780254298,4.631594210240014
Austria,40.0,2018,70.10451752896525,15.476685905529886,9.729828792786735,4.6889677727181525
Austria,40.0,2019,62.50977247669638,15.962525964414285,15.196177728111667,6.331523830777637
Austria,40.0,2020,58.30907009280075,16.361391920423156,16.997479501674164,8.332058485101959
Austria,40.0,2021,55.0892808327316,21.377417238787302,11.73129689412028,11.802005034360818
Azerbaijan,31.0,2017,57.64509191372938,17.756567995742927,14.329694731982798,10.268645358544902
Azerbaijan,31.0,2018,57.524426683489054,16.13587892940717,14.837204325379997,11.502490061723774
Azerbaijan,31.0,2019,66.2686581710124,12.997700169245965,12.448368669048005,8.285272990693649
Azerbaijan,31.0,2020,64.3744871455431,12.174790548632142,12.582463815907523,10.868258489917231
Azerbaijan,31.0,2021,64.90285100847697,15.66905936510734,12.339305335165808,7.088784291249896
Bahamas,44.0,2017,66.35571206264362,8.81737993370115,9.343931972945176,15.482976030710056
Bahamas,44.0,2018,60.30966469710672,8.301785183412386,9.717562650047778,21.670987469433125
Bahamas,44.0,2019,58.780461853121054,9.566110852057484,10.005077519302478,21.648349775518987
Bahamas,44.0,2020,61.02310584412595,9.363634265620096,10.516181458704326,19.09707843154963
Bahamas,44.0,2021,70.28256519616762,8.668278687900695,8.603321996909141,12.44583411902255
Bangladesh,50.0,2017,75.45298332414296,7.13233380493626,5.417711472317357,11.9969713986034
Bangladesh,50.0,2018,70.62271781863899,8.271072864138219,5.969445134263429,15.136764182959356
Bangladesh,50.0,2019,73.31263531589285,10.423699589770218,6.136483067866584,10.127182026470358
Bangladesh,50.0,2020,76.78419773808479,10.668342194025746,8.1823989955247,4.365061072364769
Bangladesh,50.0,2021,79.52854215082581,8.399771682402097,5.92070146979097,6.150984696981115
Belarus,112.0,2017,60.94821295709114,8.743676350985805,9.001518810317995,21.306591881605044
Belarus,112.0,2018,51.613457014948025,10.603896350254187,11.456396248110336,26.32625038668744
Belarus,112.0,2019,47.58301546851449,17.095818173551866,15.990528755302767,19.3306376026309
Belarus,112.0,2020,48.54922694509378,14.755215709941227,15.996121243964822,20.699436101000163
